Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Albatrossia pectoralis,NA,Giant Grenadier,NA,F-ALPE,AFCMC05010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Alepisaurus ferox,NA,Longnose Lancetfish,NA,F-ALFE,AFC8E01020,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Alepisauridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Alepocephalus tenebrosus,NA,California Slickhead,NA,F-ALTE,AFCHH02010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Alepocephalidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Allocyttus folletti,NA,Oxeye Oreo,NA,F-ALFO,AFC1D01010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Zeiformes,Oreosomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Allolumpenus hypochromus,NA,Y-prickleback,NA,F-ALHY,AFCSC04010,GNR,NA,SNR,NA,NA,NAR (May 1991),NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Allosmerus elongatus,NA,Whitebait Smelt,NA,F-ALEL,AFCHB05010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Alopias vulpinus,NA,Thresher Shark,NA,F-ALVU,AFDDC01020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Alopiidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Alosa sapidissima,NA,American Shad,NA,F-ALSA,AFCFA01060,G5,Dec-17,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Clupeidae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Amblyraja badia,NA,Broad Skate,NA,F-AMBA,AFDFD01180,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Rajiformes,Rajidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Ameiurus melas,NA,Black Bullhead,NA,F-AMME,AFCKA06030,G5,Aug-15,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Ameiurus natalis,Ictalurus natalis,Yellow Bullhead,NA,F-ICNA,AFCKA06040,G5,Oct-11,SNA,May-19,Dec-15,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Ameiurus nebulosus,NA,Brown Bullhead,NA,F-AMNE,AFCKA06050,G5,Aug-15,SNA,May-19,Jan-03,NA,NA,Exotic,NA,NA,NA,NA,NA,NA,NA,NA,4 - Secure(2005),NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae,NA,NA,NA,NA,NA,Exotic,Regularly occurring,NA,NA,N,N,NA
Ammodytes hexapterus,NA,Pacific Sand Lance,NA,F-AMHE,AFCS601030,G5,Apr-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Ammodytidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Amphistichus rhodoterus,NA,Redtail Surfperch,NA,F-AMRH,AFCQK03030,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anarrhichthys ocellatus,NA,Wolf-eel,NA,F-ANOC,AFCSD02010,G5,Feb-17,SNR,NA,NA,NAR (May 2003),NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Anarhichadidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anoplagonus inermis,NA,Smooth Alligatorfish,NA,F-ANIN,AFC4F05010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anoplarchus insignis,NA,Slender Cockscomb,NA,F-ANIS,AFCSC05010,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anoplarchus purpurescens,NA,High Cockscomb,NA,F-ANPU,AFCSC05020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Stichaeidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anoplogaster cornuta,NA,Longhorn Fangtooth,NA,F-ANCO,AFCZD02010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Beryciformes,Anoplogastridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anoplopoma fimbria,NA,Sablefish,NA,F-ANFI,AFC4C01010,G5,Dec-17,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Anotopterus nikparini,NA,North Pacific Daggertooth,NA,F-ANNI,AFC8F01020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
Antimora microlepis,NA,Pacific Flatnose,NA,F-ANMI,AFCMH01020,GNR,NA,SNR,NA,NA,NA,NA,Not Reviewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Moridae,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA
